Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
ammoBundle9mmBulletHP,items,Item,,,"[DECEA3]9mm HP Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleArrowExploding,items,Item,,,"[DECEA3]Arrow, Exploding [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleArrowFlaming,items,Item,,,"[DECEA3]Arrow, Flaming [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleArrowIron,items,Item,,,"[DECEA3]Arrow, Iron [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleArrowSteelAP,items,Item,,,"[DECEA3]Arrow, Steel [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleArrowStone,items,Item,,,"[DECEA3]Arrow, Stone [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleBlunderbuss,items,Item,,,"[DECEA3]Blunderbuss Ammo [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleCrossbowBoltExploding,items,Item,,,"[DECEA3]Bolt, Exploding [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleCrossbowBoltFlaming,items,Item,,,"[DECEA3]Bolt, Flaming [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleCrossbowBoltIron,items,Item,,,"[DECEA3]Bolt, Iron [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleCrossbowBoltSteelAP,items,Item,,,"[DECEA3]Bolt, Steel [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleCrossbowBoltStone,items,Item,,,"[DECEA3]Bolt, Stone [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleJunkTurretAP,items,Item,,,"[DECEA3]Robotic Turret AP Ammo [ffffff]Box of 1000",,,,,,,,,,,,,,
ammoBundleJunkTurretRegular,items,Item,,,"[DECEA3]Robotic Turret Ammo [ffffff]Box of 1000",,,,,,,,,,,,,,
ammoBundleJunkTurretShell,items,Item,,,"[DECEA3]Robotic Turret Shell Ammo [ffffff]Box of 1000",,,,,,,,,,,,,,
ammoBundleShotgunBreachingSlug,items,Item,,,"[DECEA3]Shotgun Breaching Slug [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleShotgunShell,items,Item,,,"[DECEA3]Shotgun Shell [ffffff]Box of 500",,,,,,,,,,,,,,
ammoBundleShotgunSlug,items,Item,,,"[DECEA3]Shotgun Slug [ffffff]Box of 500",,,,,,,,,,,,,,
farmPlotBlockPlayerBIG,blocks,Block,,,"Farm Plot [ddcdfa]x10",,,,,,,,,,,,,,
farmPlotBlockPlayerCornerRoundBIG,blocks,Block,,,"Farm Plot Corner Round [ddcdfa]x10",,,,,,,,,,,,,,
farmPlotBlockPlayerRaisedBIG,blocks,Block,,,"Farm Plot Raised [ddcdfa]x10",,,,,,,,,,,,,,
modRoboticDroneCargoModSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Drone [ffffff]Robotic Drone Cargo",,,,,,,,,,,,,,
modRoboticDroneMedicModSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Drone [ffffff]Robotic Drone Medic",,,,,,,,,,,,,,
modRoboticDroneHeadlampModSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Drone [ffffff]Robotic Headlamp",,,,,,,,,,,,,,
modRoboticDroneArmorPlatingModSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Drone [ffffff]Robotic Drone Armor Plating",,,,,,,,,,,,,,
modRoboticDroneMoraleBoosterModSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Drone [ffffff]Robotic Drone Morale Booster",,,,,,,,,,,,,,
modVehicleFuelSaverSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Vehicle [ffffff]Vehicle Fuel Saver",,,,,,,,,,,,,,
modVehicleOffRoadHeadlightsSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Vehicle [ffffff]Vehicle Off Road Headlights",,,,,,,,,,,,,,
modVehicleSuperChargerSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Vehicle [ffffff]Vehicle Super Charger",,,,,,,,,,,,,,
modVehicleExpandedSeatSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Vehicle [ffffff]Vehicle Expanded Seating",,,,,,,,,,,,,,
modVehicleReserveFuelTankSchematic,,,,,"[DECEA3]Schematic [ddcdfa]Mod - Vehicle [ffffff]Vehicle Reserve Fuel Tank",,,,,,,,,,,,,,
gunRifleT2LeverActionRifleSchematic,,,,,"[DECEA3]Schematic [ffffff]Lever Action Rifle",,,,,,,,,,,,,,
gunBotT3JunkDroneSchematic,,,,,"[DECEA3]Schematic [ffffff]Robotic Drone",,,,,,,,,,,,,,
commercialDoor1_v1NoBrass,,,,,"Commercial Door 1  [ddcdfa](Wood Door)",,,,,,,,,,,,,,
commercialDoor2_v1NoBrass,,,,,"Commercial Door 2  [ddcdfa](Wood Door)",,,,,,,,,,,,,,
commercialDoor4_v1NoBrass,,,,,"Commercial Door 3  [ddcdfa](Wood Door)",,,,,,,,,,,,,,
houseFrontDoor1_v1NoBrass,,,,,"House Door 1  [ddcdfa](Wood Door)",,,,,,,,,,,,,,
houseFrontDoor2_v1NoBrass,,,,,"House Door 2  [ddcdfa](Wood Door)",,,,,,,,,,,,,,
manholeHatchPlayer,,,,,"Manhole [ddcdfa](Player Owned)",,,,,,,,,,,,,,
miscwoodDoorVariantHelper,,,,,"Wood Doors",,,,,,,,,,,,,,
miscironDoorVariantHelper,,,,,"Iron Doors",,,,,,,,,,,,,,
miscsteelDoorVariantHelper,,,,,"Steel Doors",,,,,,,,,,,,,,
armorLeatherSetSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-01/38) [ffffff]Leather Armor",,,,,,,,,,,,,,
armorMilitarySetSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-02/38) [ffffff]Military Armor",,,,,,,,,,,,,,
armorIronSetSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-03/38) [ffffff]Iron Armor",,,,,,,,,,,,,,
armorSteelSetSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-04/38) [ffffff]Steel Armor",,,,,,,,,,,,,,
meleeWpnClubT1BaseballBatSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-05/38) [ffffff]Baseball Bat",,,,,,,,,,,,,,
meleeWpnSledgeT1IronSledgehammerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-06/38) [ffffff]Iron Sledgehammer",,,,,,,,,,,,,,
meleeWpnSledgeT3SteelSledgehammerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-07/38) [ffffff]Steel Sledgehammer",,,,,,,,,,,,,,
meleeWpnBladeT1HuntingKnifeSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-08/38) [ffffff]Hunting Knife",,,,,,,,,,,,,,
meleeWpnBladeT3MacheteSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-09/38) [ffffff]Machete",,,,,,,,,,,,,,
meleeMurderAxeSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-10/38) [ffffff]Murder Axe",,,,,,,,,,,,,,
meleeWpnKnucklesT1IronKnucklesSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-11/38) [ffffff]Iron Kunckles",,,,,,,,,,,,,,
meleeWpnKnucklesT3SteelKnucklesSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-12/38) [ffffff]Steel Knuckles",,,,,,,,,,,,,,
meleeWpnSpearT1IronSpearSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-13/38) [ffffff]Iron Spear",,,,,,,,,,,,,,
meleeWpnBatonT2StunBatonSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-14/38) [ffffff]Stun Baton",,,,,,,,,,,,,,
gunBowT1WoodenBowSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-15/38) [ffffff]Wooden Bow",,,,,,,,,,,,,,
gunBowT3CompoundBowSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-16/38) [ffffff]Compound Bow",,,,,,,,,,,,,,
gunBowT1IronCrossbowSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-17/38) [ffffff]Iron Crossbow",,,,,,,,,,,,,,
gunBowT3CompoundCrossbowSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-18/38) [ffffff]Compound Crossbow",,,,,,,,,,,,,,
gunHandgunT1PistolSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-19/38) [ffffff]Pistol",,,,,,,,,,,,,,
gunHandgunT3SMG5Schematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-20/38) [ffffff]SMG",,,,,,,,,,,,,,
gunHandgunT2Magnum44Schematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-21/38) [ffffff]Magnum",,,,,,,,,,,,,,
gunHandgunT3DesertVultureSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-22/38) [ffffff]Desert Vulture",,,,,,,,,,,,,,
gunShotgunT1DoubleBarrelSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-23/38) [ffffff]Double Barrel Shotgun",,,,,,,,,,,,,,
gunShotgunT2PumpShotgunSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-24/38) [ffffff]Pump Shotgun",,,,,,,,,,,,,,
gunShotgunT3AutoShotgunSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-25/38) [ffffff]Auto Shotgun",,,,,,,,,,,,,,
gunRifleT1HuntingRifleSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-26/38) [ffffff]Hunting Rifle",,,,,,,,,,,,,,
gunRifleT2LeverActionRifleSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-27/38) [ffffff]Lever Action Rifle",,,,,,,,,,,,,,
gunRifleT3SniperRifleSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-28/38) [ffffff]Sniper Rifle",,,,,,,,,,,,,,
gunMGT1AK47Schematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-29/38) [ffffff]AK47",,,,,,,,,,,,,,
gunMGT2TacticalARSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-30/38) [ffffff]Tactical Assaul Rifle",,,,,,,,,,,,,,
gunMGT3M60Schematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-31/38) [ffffff]M60",,,,,,,,,,,,,,
gunBotT1JunkSledgeSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-32/38) [ffffff]Sledge Turret",,,,,,,,,,,,,,
gunBotT2JunkTurretSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-33/38) [ffffff]Robotic Turret",,,,,,,,,,,,,,
thrownDynamiteSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-34/38) [ffffff]Dynamite",,,,,,,,,,,,,,
thrownAmmoPipeBombSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-35/38) [ffffff]Pipe Bomb",,,,,,,,,,,,,,
thrownGrenadeSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-36/38) [ffffff]Grenade",,,,,,,,,,,,,,
thrownGrenadeContactSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-37/38) [ffffff]Contact Grenade",,,,,,,,,,,,,,
gunExplosivesT3RocketLauncherSchematic,,,,,"[DECEA3]Schematic [ddcdfa](AW-38/38) [ffffff]Rocket Launcher",,,,,,,,,,,,,,
plantedAloe1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-01/50) [ffffff]Aloe Vera (Seed)",,,,,,,,,,,,,,
plantedBlueberry1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-02/50) [ffffff]Blueberry (Seed)",,,,,,,,,,,,,,
plantedChrysanthemum1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-03/50) [ffffff]Chrysanthemum (Seed)",,,,,,,,,,,,,,
plantedCoffee1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-04/50) [ffffff]Coffee (Seed)",,,,,,,,,,,,,,
plantedCorn1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-05/50) [ffffff]Corn (Seed)",,,,,,,,,,,,,,
plantedCotton1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-06/50) [ffffff]Cotton (Seed)",,,,,,,,,,,,,,
plantedGoldenrod1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-07/50) [ffffff]Goldenrod (Seed)",,,,,,,,,,,,,,
plantedHop1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-08/50) [ffffff]Hop (Seed)",,,,,,,,,,,,,,
plantedMushroom1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-09/50) [ffffff]Mushroom (Seed)",,,,,,,,,,,,,,
plantedPotato1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-10/50) [ffffff]Potato (Seed)",,,,,,,,,,,,,,
plantedPumpkin1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-11/50) [ffffff]Pumpkin (Seed)",,,,,,,,,,,,,,
plantedGraceCorn1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-12/50) [ffffff]Super Corn (Seed)",,,,,,,,,,,,,,
plantedYucca1Schematic,,,,,"[DECEA3]Schematic [ddcdfa](C-13/50) [ffffff]Yucca (Seed)",,,,,,,,,,,,,,
beeFlowerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-14/50) [ffffff]Bee Hive Flower",,,,,,,,,,,,,,
birdsNestEmptySchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-15/50) [ffffff]Birdnest (seed)",,,,,,,,,,,,,,
foodBaconAndEggsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-16/50) [ffffff]Bacon and Eggs",,,,,,,,,,,,,,
foodBakedPotatoSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-17/50) [ffffff]Baked Potato",,,,,,,,,,,,,,
foodBlueberryPieSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-18/50) [ffffff]Blueberry Pie",,,,,,,,,,,,,,
foodBoiledMeatSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-19/50) [ffffff]Boiled Meat",,,,,,,,,,,,,,
foodChiliDogSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-20/50) [ffffff]Chili Dog",,,,,,,,,,,,,,
foodCornBreadSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-21/50) [ffffff]Corn Bread",,,,,,,,,,,,,,
foodCornOnTheCobSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-22/50) [ffffff]Corn on the Cob",,,,,,,,,,,,,,
foodFishTacosSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-23/50) [ffffff]Fish Tacos",,,,,,,,,,,,,,
foodGrilledMeatSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-24/50) [ffffff]Grilled Meat",,,,,,,,,,,,,,
foodGumboStewSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-25/50) [ffffff]Gumbo Stew",,,,,,,,,,,,,,
foodHoboStewSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-26/50) [ffffff]Hobo Stew",,,,,,,,,,,,,,
foodMeatStewSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-27/50) [ffffff]Meat Stew",,,,,,,,,,,,,,
foodPumpkinBreadSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-28/50) [ffffff]Pumpkin Bread",,,,,,,,,,,,,,
foodPumpkinCheesecakeSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-29/50) [ffffff]Pumpkin Cheesecake",,,,,,,,,,,,,,
foodPumpkinPieSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-30/50) [ffffff]Pumpkin Pie",,,,,,,,,,,,,,
foodShamChowderSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-31/50) [ffffff]Sham Chowder",,,,,,,,,,,,,,
foodCanShamSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-32/50) [ffffff]Shamway Secret Recipe",,,,,,,,,,,,,,
foodShepardsPieSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-33/50) [ffffff]Shepards Pie",,,,,,,,,,,,,,
foodSpaghettiSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-34/50) [ffffff]Spaghetti",,,,,,,,,,,,,,
foodSteakAndPotatoSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-35/50) [ffffff]Steak and Potato",,,,,,,,,,,,,,
foodTunaFishGravyToastSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-36/50) [ffffff]Tuna Fish Gravy Toast",,,,,,,,,,,,,,
foodVegetableStewSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-37/50) [ffffff]Vegetable Stew",,,,,,,,,,,,,,
drinkJarBeerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-38/50) [ffffff]Beer",,,,,,,,,,,,,,
drinkJarCoffeeSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-39/50) [ffffff]Coffee",,,,,,,,,,,,,,
drinkJarGoldenRodTeaSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-40/50) [ffffff]Goldenrod Tea",,,,,,,,,,,,,,
drinkJarRedTeaSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-41/50) [ffffff]Red Tea",,,,,,,,,,,,,,
drinkYuccaJuiceSmoothieSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-42/50) [ffffff]Yucca Juice Smoothie",,,,,,,,,,,,,,
drinkJarGrandpasAwesomeSauceSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-43/50) [ffffff]Grandpa's Awesome Sauce",,,,,,,,,,,,,,
drinkJarGrandpasLearningElixirSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-44/50) [ffffff]Grandpa's Learn' Elixir",,,,,,,,,,,,,,
drinkJarGrandpasMoonshineSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-45/50) [ffffff]Grandpa's Moonshine",,,,,,,,,,,,,,
drugAntibioticsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-46/50) [ffffff]Antibiotics",,,,,,,,,,,,,,
medicalFirstAidBandageSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-47/50) [ffffff]First Aid Bandage",,,,,,,,,,,,,,
medicalFirstAidKitSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-48/50) [ffffff]First Aid Kit",,,,,,,,,,,,,,
drugHerbalAntibioticsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-49/50) [ffffff]Herbal Antibiotics",,,,,,,,,,,,,,
medicalPlasterCastSchematic,,,,,"[DECEA3]Schematic [ddcdfa](C-50/50) [ffffff]Plaster Cast",,,,,,,,,,,,,,
meleeToolIronSetSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-01/43) [ffffff]Iron Tools",,,,,,,,,,,,,,
meleeToolSteelSetSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-02/43) [ffffff]Steel Tools",,,,,,,,,,,,,,
meleeToolRepairT3NailgunSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-03/43) [ffffff]Nailgun",,,,,,,,,,,,,,
meleeToolPickT3AugerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-04/43) [ffffff]Auger",,,,,,,,,,,,,,
meleeToolAxeT3ChainsawSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-05/43) [ffffff]Chainsaw",,,,,,,,,,,,,,
meleeToolSalvageT1WrenchSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-06/43) [ffffff]Wrench",,,,,,,,,,,,,,
meleeToolSalvageT2RatchetSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-07/43) [ffffff]Ratchet",,,,,,,,,,,,,,
meleeToolSalvageT3ImpactDriverSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-08/43) [ffffff]Impact Driver",,,,,,,,,,,,,,
forgeSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-09/43) [ffffff]Forge",,,,,,,,,,,,,,
toolBellowsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-10/43) [ffffff]Bellows",,,,,,,,,,,,,,
toolAnvilSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-11/43) [ffffff]Anvil",,,,,,,,,,,,,,
toolForgeCrucibleSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-12/43) [ffffff]Crucible",,,,,,,,,,,,,,
cementMixerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-13/43) [ffffff]Cement Mixer",,,,,,,,,,,,,,
chemistryStationSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-14/43) [ffffff]Chemistry Station",,,,,,,,,,,,,,
workbenchSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-15/43) [ffffff]Workbench",,,,,,,,,,,,,,
ammoGasCanSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-16/43) [ffffff]Gas Can",,,,,,,,,,,,,,
resourceMilitaryFiberSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-17/43) [ffffff]Military Fiber",,,,,,,,,,,,,,
resourceOilSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-18/43) [ffffff]Oil",,,,,,,,,,,,,,
generatorbankSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-19/43) [ffffff]Generator Bank",,,,,,,,,,,,,,
batterybankSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-20/43) [ffffff]Battery Bank",,,,,,,,,,,,,,
electrictimerrelaySchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-21/43) [ffffff]Electric Timer Relay",,,,,,,,,,,,,,
motionsensorSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-22/43) [ffffff]Motion Sensor",,,,,,,,,,,,,,
pressureplateSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-23/43) [ffffff]Pressure Plate",,,,,,,,,,,,,,
switchSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-24/43) [ffffff]Switch",,,,,,,,,,,,,,
poweredDoorsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-25/43) [ffffff]Powered Doors and Bridges",,,,,,,,,,,,,,
gunBotT3JunkDroneSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-26/43) [ffffff]Robotic Drone",,,,,,,,,,,,,,
speakerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-27/43) [ffffff]Speaker",,,,,,,,,,,,,,
spotlightPlayerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-28/43) [ffffff]Spotlight",,,,,,,,,,,,,,
dartTrapSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-29/43) [ffffff]Dart Trap",,,,,,,,,,,,,,
bladeTrapSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-30/43) [ffffff]Blade Trap",,,,,,,,,,,,,,
electricfencepostSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-31/43) [ffffff]Electric Fence Post",,,,,,,,,,,,,,
shotgunTurretSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-32/43) [ffffff]Shotgun Turret",,,,,,,,,,,,,,
autoTurretSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-33/43) [ffffff]SMG Auto Turret",,,,,,,,,,,,,,
vehicleBicycleChassisSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-34/43) [ffffff]Bicycle Chassis",,,,,,,,,,,,,,
vehicleBicycleHandlebarsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-35/43) [ffffff]Bicycle Handlebars",,,,,,,,,,,,,,
vehicleMinibikeChassisSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-36/43) [ffffff]Minibike Chassis",,,,,,,,,,,,,,
vehicleMinibikeHandlebarsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-37/43) [ffffff]Minibike Handlebars",,,,,,,,,,,,,,
vehicleMotorcycleChassisSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-38/43) [ffffff]Motorcycle Chassis",,,,,,,,,,,,,,
vehicleMotorcycleHandlebarsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-39/43) [ffffff]Motorcycle Handlebars",,,,,,,,,,,,,,
vehicle4x4TruckAccessoriesSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-40/43) [ffffff]Truck Accessories",,,,,,,,,,,,,,
vehicle4x4TruckChassisSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-41/43) [ffffff]Truck Chassis",,,,,,,,,,,,,,
vehicleGyroCopterAccessoriesSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-42/43) [ffffff]Gyrocopter Accessories",,,,,,,,,,,,,,
vehicleGyroCopterChassisSchematic,,,,,"[DECEA3]Schematic [ddcdfa](E-43/43) [ffffff]Gyrocopter Chassis",,,,,,,,,,,,,,
modArmorHelmetLightSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-01/66) [ffffff]Armor Light",,,,,,,,,,,,,,
modArmorHelmetNightvisionSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-02/66) [ffffff]Armor Nightvision",,,,,,,,,,,,,,
modArmorBandolierSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-03/66) [ffffff]Bandolier",,,,,,,,,,,,,,
modArmorWaterPurifierSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-04/66) [ffffff]Helmet Water Purifier",,,,,,,,,,,,,,
modArmorPlatingBasicSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-05/66) [ffffff]Plating",,,,,,,,,,,,,,
modArmorPlatingReinforcedSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-06/66) [ffffff]Banded Plating",,,,,,,,,,,,,,
modArmorMuffledConnectorsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-07/66) [ffffff]Muffled Connectors",,,,,,,,,,,,,,
modArmorAdvancedMuffledConnectorsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-08/66) [ffffff]Adv. Muffled Connectors",,,,,,,,,,,,,,
modArmorCoolingMeshSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-09/66) [ffffff]Cooling Mesh",,,,,,,,,,,,,,
modArmorInsulatedLinerSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-10/66) [ffffff]Insulated Liner",,,,,,,,,,,,,,
modArmorImprovedFittingsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-11/66) [ffffff]Improved Fittings",,,,,,,,,,,,,,
modArmorCustomizedFittingsSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-12/66) [ffffff]Customized Fittings",,,,,,,,,,,,,,
modHPRunningSolesSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-13/66) [ffffff]HP Running Soles",,,,,,,,,,,,,,
modArmorImpactBracingSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-14/66) [ffffff]Impact Bracing",,,,,,,,,,,,,,
modArmorStoragePocketSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-15/66) [ffffff]Storage Pocket x1",,,,,,,,,,,,,,
modArmorDoubleStoragePocketSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-16/66) [ffffff]Storage Pocket x2",,,,,,,,,,,,,,
modArmorTripleStoragePocketSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-17/66) [ffffff]Storage Pocket x3",,,,,,,,,,,,,,
modMeleeBunkerBusterSchematic,,,,,"[DECEA3]Schematic [ddcdfa](Mod-18/66) [ffffff]Bunker Buster",,,,,,,,,,,,,,
